id,gender,region,highest_qualification,city_score,age,studied_credits,disability,prelim_score,online_clicks,full_term_subscription
101217,M,London Region,A Level or Equivalent,40-50%,35-55,90,Y,41.0,717,0
254625,M,Wales,A Level or Equivalent,20-30%,35-55,60,N,82.8,1987,1
625614,M,North Region,Lower Than A Level,,0-35,60,N,46.714285714285715,3953,0
1755594,M,South East Region,Post Graduate Qualification,40-50%,35-55,190,N,95.0,4003,1
597926,F,South Region,A Level or Equivalent,90-100%,0-35,240,N,98.11111111111111,692,1
337940,M,Scotland,Lower Than A Level,40-50%,0-35,60,N,60.0,1166,0
558099,F,South East Region,A Level or Equivalent,40-50%,35-55,60,N,87.36363636363636,994,1
589634,M,South West Region,A Level or Equivalent,60-70%,0-35,90,N,83.6,1212,1
305036,M,North Western Region,Lower Than A Level,50-60%,0-35,60,N,54.333333333333336,808,0
571316,F,South Region,A Level or Equivalent,50-60%,0-35,60,Y,92.5,3020,1
605409,F,Scotland,A Level or Equivalent,40-50%,35-55,60,N,87.66666666666667,6066,1
539945,F,South Region,A Level or Equivalent,90-100%,0-35,120,N,84.125,4646,0
72400,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,120,Y,84.81818181818181,420,1
334581,M,East Midlands Region,HE Qualification,80-90%,0-35,90,N,87.0,653,1
1780737,M,South Region,A Level or Equivalent,90-100%,35-55,60,Y,65.5,1042,0
343781,F,South Region,Post Graduate Qualification,90-100%,35-55,60,N,89.85714285714286,1674,1
573554,F,South East Region,Lower Than A Level,20-30%,0-35,120,N,56.25,255,0
608638,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,60,N,90.5,335,0
1982166,M,South Region,A Level or Equivalent,40-50%,35-55,60,N,82.95238095238095,7657,1
648685,M,West Midlands Region,A Level or Equivalent,10-20,0-35,60,N,88.5,4656,1
649824,F,South Region,A Level or Equivalent,40-50%,0-35,60,N,73.2,1002,1
1852968,F,South East Region,HE Qualification,40-50%,35-55,60,N,90.5,4798,1
593617,M,Scotland,A Level or Equivalent,30-40%,0-35,120,N,84.0,267,0
383571,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,120,N,91.54545454545455,526,1
627264,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,30,N,88.88888888888889,1094,1
576738,F,South Region,Lower Than A Level,60-70%,0-35,120,N,96.0,1254,1
575811,F,East Midlands Region,Lower Than A Level,10-20,35-55,60,N,57.6,678,0
347197,M,North Western Region,Lower Than A Level,80-90%,35-55,60,N,93.83333333333333,4458,1
441255,F,South West Region,A Level or Equivalent,40-50%,0-35,60,N,94.72727272727273,562,1
606802,F,South Region,Lower Than A Level,20-30%,0-35,60,N,63.0,382,0
494829,F,North Western Region,Lower Than A Level,20-30%,35-55,60,N,62.833333333333336,1506,0
2252765,F,Scotland,HE Qualification,90-100%,35-55,60,N,82.0,3247,1
680981,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,120,N,57.5,61,0
624321,F,Yorkshire Region,A Level or Equivalent,20-30%,35-55,30,N,85.0,279,0
1107079,F,Ireland,A Level or Equivalent,60-70%,35-55,120,N,74.66666666666667,151,0
595440,F,North Western Region,A Level or Equivalent,40-50%,0-35,30,Y,83.66666666666667,925,1
2580626,F,South East Region,HE Qualification,80-90%,35-55,60,N,68.2,3067,1
645232,M,East Anglian Region,Lower Than A Level,60-70%,0-35,30,Y,87.77777777777777,1408,1
279653,F,South Region,HE Qualification,90-100%,35-55,120,N,90.08333333333333,4664,1
545229,M,North Western Region,HE Qualification,80-90%,35-55,60,N,91.58333333333333,5276,1
426094,M,London Region,A Level or Equivalent,40-50%,0-35,240,N,50.0,160,0
656287,F,London Region,HE Qualification,20-30%,0-35,60,N,97.2,1626,1
596305,F,East Anglian Region,Lower Than A Level,50-60%,35-55,60,N,95.0909090909091,716,1
618377,M,South West Region,A Level or Equivalent,30-40%,0-35,60,N,70.14285714285714,440,0
962951,M,South Region,A Level or Equivalent,50-60%,35-55,150,N,74.0,108,0
556354,M,South West Region,Lower Than A Level,20-30%,0-35,60,N,74.5,917,0
620349,M,South East Region,A Level or Equivalent,50-60%,0-35,60,N,86.5,2687,0
518359,M,Ireland,Post Graduate Qualification,,35-55,60,N,94.57142857142857,6018,1
2237567,F,South East Region,A Level or Equivalent,70-80%,35-55,90,N,86.2,618,0
1661805,M,South West Region,Lower Than A Level,20-30%,35-55,30,N,94.25,6778,1
294679,M,Yorkshire Region,Lower Than A Level,50-60%,35-55,60,N,68.0,1596,0
650511,M,South Region,A Level or Equivalent,70-80%,35-55,60,N,91.8,1451,1
471434,F,London Region,A Level or Equivalent,10-20,35-55,60,N,78.75,564,0
556709,M,Ireland,A Level or Equivalent,80-90%,0-35,60,N,83.5,1651,0
627427,F,East Midlands Region,Lower Than A Level,20-30%,0-35,60,N,31.4,175,0
335405,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,60,N,92.0625,4227,1
1943214,F,East Anglian Region,Lower Than A Level,40-50%,35-55,60,N,63.0,658,0
505151,F,Scotland,A Level or Equivalent,0-10%,35-55,120,N,44.0,182,0
292027,M,East Midlands Region,Lower Than A Level,40-50%,0-35,60,N,80.0,108,0
605091,M,South East Region,No Formal quals,20-30%,0-35,150,N,86.5,1546,0
681854,M,North Western Region,A Level or Equivalent,20-30%,0-35,60,N,66.66666666666667,134,0
698278,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,150,N,69.0,1478,0
550867,F,East Anglian Region,Lower Than A Level,80-90%,0-35,60,N,67.4,450,0
595106,M,South West Region,A Level or Equivalent,50-60%,0-35,60,N,90.57142857142857,5671,1
412618,M,North Western Region,Lower Than A Level,60-70%,0-35,80,N,86.42857142857143,1448,1
554558,M,Yorkshire Region,Lower Than A Level,40-50%,0-35,60,N,95.83333333333333,7222,1
604064,M,South East Region,A Level or Equivalent,30-40%,0-35,30,N,93.88888888888889,772,1
630657,M,North Region,A Level or Equivalent,10-20,0-35,60,N,69.33333333333333,418,0
589126,F,South Region,A Level or Equivalent,70-80%,35-55,30,N,90.0,721,1
2569416,M,South Region,A Level or Equivalent,80-90%,35-55,90,N,94.8,3309,1
568533,F,North Western Region,Lower Than A Level,40-50%,0-35,90,N,79.18181818181819,192,1
556882,F,South West Region,Lower Than A Level,30-40%,35-55,60,N,63.0,405,0
602320,M,London Region,A Level or Equivalent,50-60%,35-55,120,N,78.0,114,0
586281,F,South East Region,Lower Than A Level,40-50%,0-35,90,N,74.66666666666667,3245,0
364405,M,London Region,HE Qualification,50-60%,35-55,60,N,90.0,2946,1
280152,F,South East Region,A Level or Equivalent,50-60%,0-35,60,N,68.2,1585,1
601155,M,Wales,A Level or Equivalent,0-10%,0-35,60,N,74.0,403,0
649026,M,Ireland,Lower Than A Level,90-100%,35-55,120,N,87.5,386,0
348790,M,East Midlands Region,HE Qualification,60-70%,0-35,60,N,90.33333333333333,1694,0
649230,F,Scotland,Lower Than A Level,0-10%,0-35,180,N,65.75,1616,0
604766,M,London Region,A Level or Equivalent,10-20,35-55,60,N,84.83333333333333,5046,1
469389,F,East Anglian Region,No Formal quals,70-80%,0-35,70,N,39.5,559,0
402314,F,North Region,HE Qualification,,0-35,150,N,86.42857142857143,1766,1
140060,M,West Midlands Region,A Level or Equivalent,90-100%,35-55,50,N,88.5,2110,1
569505,F,East Midlands Region,HE Qualification,60-70%,35-55,60,N,85.8,4225,1
607235,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,30,N,85.11111111111111,884,1
627692,M,North Region,Lower Than A Level,,0-35,60,N,86.08333333333333,4429,1
578031,M,South West Region,A Level or Equivalent,20-30%,0-35,60,N,78.85714285714286,817,1
676064,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,60,N,89.75,4374,1
585149,M,East Midlands Region,Lower Than A Level,10-20,0-35,60,N,88.33333333333333,570,0
680027,M,London Region,A Level or Equivalent,30-40%,35-55,120,Y,98.42857142857143,16153,1
389369,M,Wales,A Level or Equivalent,10-20,0-35,120,N,84.45454545454545,896,1
531643,F,North Western Region,A Level or Equivalent,10-20,35-55,60,N,92.1,3134,1
2684003,F,Yorkshire Region,HE Qualification,50-60%,35-55,30,N,82.85714285714286,616,1
574586,M,Ireland,A Level or Equivalent,70-80%,35-55,60,N,83.42857142857143,5659,0
984347,M,Yorkshire Region,A Level or Equivalent,80-90%,35-55,60,N,94.83333333333333,6699,1
584733,F,South West Region,Lower Than A Level,30-40%,0-35,60,N,75.57142857142857,2907,1
481227,M,Wales,A Level or Equivalent,70-80%,35-55,60,N,87.0,2062,0
651930,M,South West Region,Lower Than A Level,60-70%,0-35,30,N,89.25,3635,1
638544,F,West Midlands Region,A Level or Equivalent,10-20,0-35,120,N,79.33333333333333,62,0
2228206,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,180,N,81.25,1234,0
559004,M,Ireland,A Level or Equivalent,20-30%,0-35,60,N,81.66666666666667,2554,1
610228,F,North Region,Lower Than A Level,,0-35,90,Y,26.0,526,0
374353,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,150,N,60.666666666666664,900,0
416276,M,West Midlands Region,Lower Than A Level,10-20,0-35,120,Y,90.0,1734,0
681125,M,South West Region,Lower Than A Level,50-60%,0-35,60,N,35.0,148,0
645835,M,North Region,A Level or Equivalent,60-70%,0-35,120,N,72.16666666666667,1219,0
590626,M,Scotland,Lower Than A Level,60-70%,35-55,60,N,59.0,4231,0
1995177,M,West Midlands Region,HE Qualification,70-80%,0-35,120,N,88.58333333333333,5179,1
647346,F,South West Region,A Level or Equivalent,90-100%,0-35,60,N,85.6,2880,1
2066504,M,London Region,HE Qualification,20-30%,35-55,90,N,12.0,62,0
380435,F,East Midlands Region,HE Qualification,30-40%,0-35,120,N,84.33333333333333,4556,1
560024,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,60,N,92.64285714285714,615,1
391638,F,South West Region,A Level or Equivalent,40-50%,0-35,60,N,52.25,184,0
549601,M,West Midlands Region,Lower Than A Level,20-30%,35-55,60,Y,96.75,3166,0
431071,F,Ireland,Lower Than A Level,10-20,0-35,120,N,76.33333333333333,726,0
617714,F,London Region,Lower Than A Level,70-80%,0-35,60,N,44.666666666666664,84,0
571630,M,Yorkshire Region,A Level or Equivalent,30-40%,35-55,120,N,62.0,588,0
108799,F,Scotland,Post Graduate Qualification,90-100%,35-55,75,N,88.9090909090909,472,1
611496,F,North Western Region,A Level or Equivalent,50-60%,35-55,30,N,89.22222222222223,2020,1
686940,F,Scotland,HE Qualification,60-70%,35-55,60,N,63.2,1917,1
493609,F,Ireland,Lower Than A Level,20-30%,0-35,60,N,100.0,84,0
28952,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,60,N,59.5,105,0
415187,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,120,N,32.0,97,0
613015,F,South Region,A Level or Equivalent,90-100%,35-55,30,N,88.44444444444444,1473,1
610033,M,South Region,A Level or Equivalent,50-60%,0-35,60,N,88.55555555555556,1146,1
573697,F,South Region,HE Qualification,70-80%,0-35,180,N,85.66666666666667,2448,0
2498139,F,East Midlands Region,Lower Than A Level,60-70%,0-35,30,Y,86.42857142857143,1083,1
574310,F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,60,N,88.35714285714286,3621,1
630491,M,South Region,Lower Than A Level,10-20,0-35,60,N,69.33333333333333,1145,0
606805,M,London Region,A Level or Equivalent,40-50%,0-35,90,N,75.0,1501,0
580412,F,North Region,Lower Than A Level,20-30%,0-35,120,N,77.6,114,0
2343337,M,Scotland,Lower Than A Level,40-50%,0-35,90,N,90.16666666666667,1613,1
648709,F,South Region,A Level or Equivalent,40-50%,0-35,120,N,87.0,353,0
359855,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,60,N,76.8,626,0
92274,F,East Anglian Region,Lower Than A Level,60-70%,0-35,60,N,66.4,447,0
592310,F,North Western Region,HE Qualification,50-60%,35-55,30,N,91.33333333333333,2126,1
268845,M,West Midlands Region,HE Qualification,40-50%,0-35,120,N,55.0,1195,0
579064,M,West Midlands Region,Lower Than A Level,10-20,0-35,60,N,69.66666666666667,1619,0
124064,F,South East Region,A Level or Equivalent,60-70%,0-35,120,N,87.2,2042,1
525189,M,East Midlands Region,Lower Than A Level,90-100%,0-35,60,N,50.0,67,0
2273119,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,60,N,38.333333333333336,105,0
618861,M,West Midlands Region,Lower Than A Level,60-70%,35-55,30,N,80.0,964,0
546941,F,South Region,A Level or Equivalent,80-90%,0-35,120,N,81.63636363636364,790,0
567500,F,Ireland,A Level or Equivalent,10-20,0-35,60,N,79.0,776,1
581552,M,London Region,A Level or Equivalent,30-40%,0-35,90,N,86.26666666666667,3022,1
589444,F,South West Region,A Level or Equivalent,40-50%,0-35,120,N,87.2,481,1
634529,M,North Western Region,Lower Than A Level,10-20,0-35,30,N,87.55555555555556,413,1
2353766,F,North Western Region,HE Qualification,20-30%,35-55,60,N,50.0,86,0
517679,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,120,N,88.45454545454545,578,1
629628,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,60,N,0.0,227,0
606047,F,South Region,A Level or Equivalent,70-80%,0-35,60,N,91.0,2312,1
549922,M,South East Region,A Level or Equivalent,80-90%,0-35,120,N,90.25,1881,0
552666,M,South Region,A Level or Equivalent,50-60%,0-35,90,N,38.333333333333336,394,0
571583,M,London Region,Lower Than A Level,80-90%,35-55,30,N,86.44444444444444,683,1
150398,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,60,Y,70.0,2129,1
624772,M,East Midlands Region,Lower Than A Level,40-50%,0-35,60,N,73.5,485,0
688127,M,East Midlands Region,A Level or Equivalent,60-70%,0-35,60,N,81.5,3080,1
688171,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,120,Y,67.0,211,0
131609,M,North Western Region,Lower Than A Level,40-50%,35-55,90,N,30.0,454,0
1738582,F,South Region,HE Qualification,90-100%,35-55,120,Y,95.2,4538,1
557542,M,West Midlands Region,A Level or Equivalent,10-20,0-35,60,N,72.0,580,0
603818,F,South Region,Lower Than A Level,30-40%,0-35,120,N,61.75,334,0
134025,M,London Region,A Level or Equivalent,60-70%,0-35,60,N,87.27777777777777,2896,1
348837,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,30,N,85.44444444444444,799,1
596687,M,North Region,HE Qualification,,0-35,120,N,92.91666666666667,2232,1
581826,M,Wales,A Level or Equivalent,20-30%,0-35,60,Y,80.0,202,0
625753,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,120,N,88.41666666666667,4009,1
633722,M,Scotland,HE Qualification,90-100%,35-55,30,N,97.11111111111111,3098,1
493876,M,London Region,A Level or Equivalent,20-30%,0-35,90,N,56.0,2356,0
598761,F,South Region,A Level or Equivalent,70-80%,0-35,120,N,90.66666666666667,6922,1
516238,M,South West Region,Lower Than A Level,20-30%,0-35,60,N,93.0,2544,1
558163,F,South West Region,Lower Than A Level,70-80%,35-55,60,N,73.0,92,0
578847,M,Ireland,A Level or Equivalent,90-100%,0-35,60,Y,83.83333333333333,3653,1
580317,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,120,N,90.25,2970,1
285637,F,Yorkshire Region,A Level or Equivalent,10-20,0-35,30,N,53.833333333333336,196,0
522082,F,North Western Region,A Level or Equivalent,0-10%,35-55,120,N,75.3,4573,0
590828,F,South East Region,A Level or Equivalent,20-30%,0-35,120,Y,34.0,236,0
549909,M,East Anglian Region,HE Qualification,70-80%,0-35,90,N,70.71428571428571,787,1
483508,F,Ireland,Lower Than A Level,50-60%,35-55,60,N,83.6,753,1
597252,M,East Anglian Region,Lower Than A Level,70-80%,0-35,120,N,79.0,650,0
596321,F,North Western Region,A Level or Equivalent,70-80%,0-35,60,N,71.0,896,0
612449,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,60,N,74.4,4098,0
85874,F,Scotland,HE Qualification,40-50%,35-55,60,N,74.0,1853,0
623511,M,South Region,HE Qualification,70-80%,0-35,30,N,96.16666666666667,1070,1
682276,M,South Region,A Level or Equivalent,90-100%,0-35,60,N,84.25,1346,0
388754,M,London Region,Lower Than A Level,10-20,0-35,120,N,83.5,4017,1
387773,F,Scotland,A Level or Equivalent,10-20,0-35,120,N,87.6,3623,1
627500,M,South Region,Lower Than A Level,80-90%,0-35,60,N,52.5,713,0
477099,M,London Region,A Level or Equivalent,20-30%,0-35,180,N,72.72727272727273,3846,0
1913166,M,London Region,HE Qualification,10-20,35-55,60,N,87.83333333333333,4357,1
626091,F,South Region,A Level or Equivalent,80-90%,0-35,30,N,87.28571428571429,487,1
595119,M,London Region,A Level or Equivalent,10-20,0-35,60,N,62.0,358,0
585433,M,Scotland,HE Qualification,80-90%,0-35,60,N,82.25,2837,0
622555,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,60,N,83.42857142857143,563,1
480929,M,South West Region,HE Qualification,60-70%,0-35,60,N,91.91304347826087,3554,1
559325,M,North Region,Lower Than A Level,,0-35,60,N,92.25,5624,1
619369,M,East Anglian Region,Lower Than A Level,60-70%,0-35,60,N,93.0,261,0
534944,F,East Midlands Region,Lower Than A Level,70-80%,0-35,90,N,60.0,151,0
532441,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,30,N,63.5,206,0
492579,F,West Midlands Region,A Level or Equivalent,90-100%,0-35,60,N,100.0,240,0
679558,M,East Anglian Region,Lower Than A Level,40-50%,0-35,180,N,82.5,99,0
378950,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,120,N,90.41666666666667,4645,1
607849,F,South West Region,Lower Than A Level,90-100%,0-35,30,N,74.42857142857143,256,1
474674,F,East Midlands Region,Lower Than A Level,30-40%,0-35,180,N,78.0,144,0
517000,F,North Western Region,A Level or Equivalent,10-20,35-55,60,N,91.63636363636364,4243,1
630804,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,120,N,55.0,744,0
622948,M,North Region,A Level or Equivalent,30-40%,0-35,60,N,79.22222222222223,1529,0
550024,M,London Region,Lower Than A Level,20-30%,35-55,60,N,61.0,3199,0
324268,M,South Region,Lower Than A Level,0-10%,0-35,60,N,71.5,387,0
1540042,F,South Region,Lower Than A Level,,35-55,60,N,89.9,444,1
590994,F,Scotland,Lower Than A Level,60-70%,0-35,60,N,84.45454545454545,446,1
2623263,M,South Region,A Level or Equivalent,50-60%,0-35,60,N,92.4,6675,1
177492,M,West Midlands Region,HE Qualification,10-20,0-35,60,N,87.91666666666667,4409,1
604504,M,West Midlands Region,No Formal quals,0-10%,0-35,30,N,86.66666666666667,570,1
2685827,F,East Midlands Region,Lower Than A Level,50-60%,0-35,120,N,65.28571428571429,1121,0
612039,F,North Western Region,Lower Than A Level,0-10%,0-35,30,N,56.888888888888886,428,1
107713,F,East Anglian Region,Lower Than A Level,40-50%,0-35,150,N,99.33333333333333,111,0
412258,F,South East Region,A Level or Equivalent,70-80%,0-35,40,N,97.33333333333333,2261,1
89778,M,South East Region,A Level or Equivalent,70-80%,0-35,120,N,92.27272727272727,141,1
476108,F,East Midlands Region,Lower Than A Level,80-90%,0-35,30,N,84.77777777777777,2007,1
439568,F,South West Region,A Level or Equivalent,50-60%,0-35,90,Y,89.0,2754,1
2418877,F,Ireland,Lower Than A Level,0-10%,0-35,60,Y,84.33333333333333,596,0
553321,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,60,N,91.9090909090909,981,1
688521,M,East Anglian Region,A Level or Equivalent,0-10%,0-35,120,N,92.11111111111111,456,1
624384,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,30,N,63.0,48,0
603931,M,North Region,Lower Than A Level,10-20,0-35,120,N,65.0,2040,0
600671,M,South Region,Lower Than A Level,60-70%,0-35,120,N,89.71428571428571,1794,1
680222,F,South East Region,Lower Than A Level,10-20,0-35,180,N,0.0,352,0
581659,F,South Region,Lower Than A Level,10-20,0-35,60,N,90.33333333333333,8332,1
633732,M,London Region,Lower Than A Level,60-70%,35-55,60,N,66.0,768,0
468529,F,South Region,Lower Than A Level,70-80%,0-35,120,N,86.42857142857143,119,0
466714,M,South West Region,A Level or Equivalent,40-50%,0-35,60,Y,34.5,371,0
2437051,M,South West Region,A Level or Equivalent,50-60%,35-55,60,N,84.0,724,0
531069,M,East Anglian Region,Lower Than A Level,60-70%,35-55,60,Y,40.8,1277,0
615127,F,East Midlands Region,HE Qualification,20-30%,35-55,120,N,94.0909090909091,1933,1
382160,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,180,N,68.0,284,0
583719,M,South East Region,A Level or Equivalent,70-80%,0-35,60,N,92.75,2157,1
631929,F,London Region,A Level or Equivalent,20-30%,0-35,60,Y,70.0,138,0
2408307,M,South West Region,A Level or Equivalent,90-100%,0-35,90,N,92.25,4426,1
548650,F,South East Region,Lower Than A Level,50-60%,0-35,60,N,41.5,188,0
623178,F,South East Region,A Level or Equivalent,70-80%,0-35,30,N,70.0,409,1
632543,F,East Anglian Region,HE Qualification,40-50%,0-35,30,N,86.55555555555556,1416,1
623223,M,West Midlands Region,Lower Than A Level,10-20,0-35,60,N,91.66666666666667,226,0
522087,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,60,N,88.81818181818181,389,1
118474,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,60,N,88.875,474,1
370100,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,60,N,62.666666666666664,288,0
572537,M,West Midlands Region,A Level or Equivalent,90-100%,35-55,60,N,96.44444444444444,3092,1
1819994,M,South Region,HE Qualification,70-80%,55<=,120,N,90.28571428571429,2626,1
467753,M,Ireland,Post Graduate Qualification,,35-55,30,N,51.0,313,0
678954,M,East Anglian Region,HE Qualification,60-70%,0-35,90,N,85.91666666666667,5746,1
674236,M,Wales,A Level or Equivalent,0-10%,0-35,120,N,86.83333333333333,3259,1
1828753,M,East Midlands Region,A Level or Equivalent,30-40%,35-55,70,N,92.88888888888889,504,1
574874,M,London Region,A Level or Equivalent,50-60%,0-35,120,N,87.08333333333333,15729,1
650251,M,East Midlands Region,A Level or Equivalent,10-20,0-35,60,N,83.08333333333333,4259,1
628616,F,East Midlands Region,A Level or Equivalent,40-50%,35-55,60,N,92.63636363636364,382,1
189442,F,East Midlands Region,Lower Than A Level,0-10%,35-55,135,N,67.25,1633,0
623778,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,30,N,89.88888888888889,987,1
630203,F,South East Region,Lower Than A Level,30-40%,0-35,30,N,75.5,178,0
629627,F,South East Region,HE Qualification,80-90%,35-55,30,N,92.0,712,0
690296,M,South East Region,Lower Than A Level,60-70%,0-35,60,N,85.0,718,0
653759,F,Scotland,A Level or Equivalent,10-20,0-35,120,N,64.2,537,0
2546315,F,North Region,A Level or Equivalent,,35-55,150,N,89.08333333333333,3758,1
644974,M,London Region,A Level or Equivalent,80-90%,35-55,120,N,89.66666666666667,9420,1
478784,F,South Region,A Level or Equivalent,70-80%,0-35,30,Y,93.33333333333333,915,1
488477,F,Scotland,A Level or Equivalent,40-50%,0-35,60,N,72.66666666666667,243,0
563157,F,London Region,A Level or Equivalent,30-40%,35-55,60,N,42.0,58,0
2050179,M,South East Region,A Level or Equivalent,60-70%,35-55,60,N,88.33333333333333,1773,1
197538,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,60,N,59.75,380,0
622652,M,Scotland,HE Qualification,80-90%,0-35,90,N,98.0,3289,1
604423,M,North Western Region,A Level or Equivalent,20-30%,35-55,30,N,74.55555555555556,820,1
551053,F,Wales,Lower Than A Level,10-20,35-55,60,Y,77.25,740,0
592640,M,Ireland,Lower Than A Level,,0-35,90,N,93.41666666666667,4578,1
152917,M,North Western Region,A Level or Equivalent,20-30%,35-55,150,Y,89.25,7558,1
699651,F,Yorkshire Region,HE Qualification,60-70%,0-35,120,N,89.6,1440,1
479607,M,Wales,A Level or Equivalent,20-30%,35-55,120,N,63.0,782,0
577824,F,West Midlands Region,A Level or Equivalent,80-90%,35-55,60,N,87.0,145,1
632959,M,North Region,Lower Than A Level,20-30%,35-55,30,N,83.11111111111111,1009,1
650751,F,East Midlands Region,Lower Than A Level,50-60%,0-35,30,N,74.28571428571429,114,1
631924,F,North Western Region,A Level or Equivalent,90-100%,0-35,120,N,79.7,7006,1
66047,F,North Western Region,HE Qualification,0-10%,0-35,90,Y,43.0,52,0
324305,F,East Midlands Region,Lower Than A Level,60-70%,0-35,60,N,71.5,1068,0
504021,F,North Western Region,Lower Than A Level,0-10%,35-55,60,N,68.8,92,0
631679,F,Wales,HE Qualification,30-40%,35-55,120,N,92.3,539,1
605195,M,Scotland,HE Qualification,60-70%,0-35,90,N,87.66666666666667,3076,1
691353,F,Ireland,Lower Than A Level,20-30%,0-35,60,N,81.0,775,0
394082,M,East Midlands Region,Lower Than A Level,40-50%,0-35,120,N,39.5,197,0
410767,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,90,Y,89.9,9175,0
528261,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,120,N,94.45454545454545,941,1
468947,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,60,N,76.0,651,0
587547,M,Yorkshire Region,A Level or Equivalent,0-10%,35-55,90,N,72.0,1919,0
2631703,M,South West Region,A Level or Equivalent,30-40%,0-35,60,Y,91.4,731,1
564894,M,South Region,Lower Than A Level,90-100%,35-55,60,N,91.5,1888,1
